id	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_benjamini_hochberg	ANs_study
Methylation	2.5	2.6	0.97	28	1125	29	1125	1	1	P00044,P01120,P02994,P04147,P04911,P05750,P06634,P0C0T4,P0C0W9,P0CX41,P0CX43,P0CX49,P0CX53,P0CX55,P12385,P14126,P15646,P16521,P25443,P25491,P27476,P32324,P32861,P32939,P33399,P35997,P36015,P61830
Mitochondrion inner membrane	3.4	3.6	0.95	38	1125	40	1125	0.908	1	P00427,P00830,P04037,P04710,P05626,P07251,P07256,P07257,P07275,P09457,P16622,P18239,P30902,P32340,P36112,P36147,P38077,P38087,P38300,P38988,P39952,P40012,P40961,P42949,P43594,P49017,P53318,Q00711,Q01852,Q01926,Q02776,Q04013,Q05779,Q06405,Q06493,Q07914,Q08179,Q08822
Ubl conjugation pathway	1.8	1.9	0.95	20	1125	21	1125	1	1	P09798,P14682,P15731,P19812,P22515,P25037,P28263,P32571,P43588,P52488,P53044,P53741,Q01476,Q02159,Q02724,Q03280,Q05580,Q07457,Q12306,Q12508
Manganese	1.3	1.4	0.94	15	1125	16	1125	1	1	P00447,P03965,P07244,P21954,P28241,P28834,P29468,P38698,P39986,P40495,P43616,P46969,P47119,Q00955,Q01976
Cell division	1.8	2.0	0.91	20	1125	22	1125	0.876	1	P06101,P09798,P14682,P21576,P22579,P32457,P32468,P33309,P33322,P36047,P38198,P38630,P47037,P53141,P53168,P53267,P53865,Q03790,Q05166,Q12018
Allosteric enzyme	0.9	1.0	0.91	10	1125	11	1125	1	1	P00549,P00927,P04806,P04807,P06169,P16861,P16862,P18562,P28241,P28834
Kinase	3.3	3.6	0.90	37	1125	41	1125	0.73	1	P00549,P00560,P04806,P04807,P07170,P08566,P10869,P15454,P15700,P15790,P16861,P16862,P17157,P17423,P17709,P19454,P21373,P21965,P23292,P23293,P29295,P32190,P32264,P35169,P36010,P38689,P39073,P40160,P42938,P47143,P54838,Q01217,Q01389,Q02196,Q04409,Q06685,Q12265
Nuclear pore complex	0.8	0.9	0.90	9	1125	10	1125	1	1	P14907,P20449,P20676,P32499,P39705,P40069,P49687,Q03790,Q05166
Cytoplasm	35.6	40.0	0.89	401	1125	450	1125	0.0369	0.449	O14467,P00330,P00331,P00358,P00359,P00360,P00445,P00498,P00560,P00817,P00924,P00925,P00950,P00958,P01123,P02406,P02407,P02829,P02994,P03965,P04147,P04449,P04456,P04801,P04802,P05317,P05453,P05737,P05738,P05739,P05740,P05744,P05747,P05748,P05749,P05750,P05755,P05756,P05759,P06101,P06106,P06115,P06169,P06208,P06634,P06787,P07170,P07245,P07259,P07263,P07278,P07280,P07283,P07284,P07560,P07806,P07991,P08417,P08524,P08566,P09435,P09436,P09959,P0C0T4,P0C0W9,P0C2H6,P0C2H8,P0C2I9,P0CX23,P0CX25,P0CX29,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX41,P0CX43,P0CX45,P0CX47,P0CX49,P0CX53,P0CX55,P0CX84,P10080,P10081,P10591,P10592,P10664,P11484,P12385,P12612,P12709,P12945,P13712,P14120,P14126,P14682,P14832,P15108,P15180,P15624,P15625,P15700,P15705,P15891,P16521,P16861,P16862,P17076,P17157,P17442,P17536,P17695,P19414,P20424,P20449,P21243,P21269,P21576,P22141,P22147,P22217,P22515,P23248,P23301,P23542,P24783,P25040,P25343,P25369,P25375,P25443,P25451,P25491,P25567,P25627,P25694,P26321,P26637,P26783,P26784,P26785,P28263,P28272,P28273,P29295,P29453,P29509,P29547,P29952,P30822,P31373,P31385,P31539,P31688,P32074,P32264,P32288,P32324,P32327,P32342,P32356,P32379,P32380,P32432,P32454,P32497,P32504,P32521,P32527,P32561,P32571,P32589,P32614,P33201,P33297,P33298,P33299,P33309,P33313,P33322,P33331,P33442,P34216,P34219,P34730,P34760,P35194,P35691,P35719,P35997,P36008,P36010,P36059,P36136,P36154,P36421,P37012,P37291,P38011,P38013,P38088,P38115,P38198,P38199,P38219,P38249,P38276,P38281,P38333,P38624,P38625,P38636,P38687,P38689,P38701,P38707,P38720,P38754,P38768,P38777,P38788,P38793,P38804,P38828,P38858,P38879,P38972,P39015,P39077,P39078,P39079,P39517,P39676,P39714,P39715,P39935,P39938,P39976,P39979,P40002,P40005,P40024,P40069,P40081,P40106,P40160,P40202,P40206,P40212,P40327,P40413,P40457,P40506,P40525,P40545,P40581,P40825,P40970,P41057,P41058,P41277,P41338,P41805,P41810,P41811,P41812,P41920,P41921,P41940,P42938,P43583,P43603,P43616,P43621,P46655,P46672,P46784,P46947,P46969,P46990,P47008,P47019,P47039,P47079,P47089,P47117,P47119,P47120,P47176,P48164,P48240,P48361,P48570,P48589,P48606,P49166,P49167,P50094,P50095,P52910,P53072,P53082,P53090,P53148,P53168,P53184,P53221,P53267,P53297,P53622,P53691,P53865,P53905,P53909,P53927,P53940,P53981,P54115,P60010,P80210,P89886,Q00055,Q00764,Q00955,Q01389,Q01574,Q01662,Q01855,Q01939,Q02046,Q02326,Q02642,Q02647,Q02753,Q02821,Q02890,Q02908,Q03048,Q03195,Q03434,Q03690,Q04067,Q04170,Q04178,Q04409,Q05040,Q05506,Q05515,Q05580,Q05775,Q05905,Q05933,Q05948,Q05958,Q06053,Q06178,Q06338,Q06406,Q06411,Q06449,Q06494,Q06671,Q06673,Q06685,Q06704,Q07551,Q07953,Q08162,Q08686,Q08689,Q08887,Q08925,Q08965,Q08971,Q08972,Q12018,Q12020,Q12109,Q12118,Q12154,Q12156,Q12230,Q12265,Q12314,Q12363,Q12433,Q12434,Q12447,Q12449,Q12458,Q12508,Q12513,Q12514,Q12515,Q12751,Q12754,Q3E754,Q99216,Q99383
Hydrogen ion transport	1.4	1.6	0.89	16	1125	18	1125	0.863	1	P00830,P05030,P05626,P07251,P09457,P16140,P17255,P22203,P30902,P31412,P32563,P38077,P39111,P41807,P48836,Q06405
Sterol biosynthesis	0.7	0.8	0.89	8	1125	9	1125	1	1	P12684,P25087,P29704,P32353,P32377,P32462,P53199,P54839
Steroid metabolism	0.7	0.8	0.89	8	1125	9	1125	1	1	P12684,P25087,P29704,P32353,P32377,P32462,P53199,P54839
Methionine biosynthesis	0.7	0.8	0.89	8	1125	9	1125	1	1	P05694,P06106,P07245,P08465,P09440,P13663,P31116,Q02196
Steroid biosynthesis	0.7	0.8	0.89	8	1125	9	1125	1	1	P12684,P25087,P29704,P32353,P32377,P32462,P53199,P54839
Sterol metabolism	0.7	0.8	0.89	8	1125	9	1125	1	1	P12684,P25087,P29704,P32353,P32377,P32462,P53199,P54839
Isomerase	1.8	2.0	0.87	20	1125	23	1125	0.759	1	P00942,P00950,P06786,P07283,P12709,P14832,P17967,P25719,P29952,P33322,P37012,P38086,P38911,P40545,P46969,P53691,Q06205,Q08647,Q12189,Q12211
Initiation factor	1.2	1.4	0.87	14	1125	16	1125	0.855	1	P06634,P07260,P09064,P10081,P32497,P34167,P38249,P38431,P39730,P39935,P53235,Q03195,Q04067,Q05775
Ribosomal protein	7.3	8.4	0.86	82	1125	95	1125	0.347	1	P02406,P02407,P04449,P04456,P05317,P05737,P05738,P05739,P05740,P05744,P05747,P05748,P05749,P05750,P05755,P05756,P05759,P07280,P0C0T4,P0C0W9,P0C2H6,P0C2H8,P0CX23,P0CX25,P0CX29,P0CX31,P0CX33,P0CX35,P0CX37,P0CX39,P0CX41,P0CX43,P0CX45,P0CX47,P0CX49,P0CX53,P0CX55,P0CX84,P10664,P12687,P14120,P14126,P17076,P17558,P19955,P22354,P23248,P25443,P26321,P26783,P26784,P26785,P29453,P33442,P35997,P36534,P38701,P38754,P39938,P40212,P40525,P41057,P41058,P41805,P46784,P46990,P47089,P48164,P48589,P49166,P49167,P53163,P53221,P53875,Q01163,Q01855,Q02326,Q02753,Q02950,Q03799,Q12672,Q3E754
Redox-active center	1.1	1.2	0.86	12	1125	14	1125	0.844	1	P09624,P17695,P17967,P22217,P25372,P29509,P34227,P34760,P38013,P40553,P40581,P41921
Palmitate	0.5	0.6	0.86	6	1125	7	1125	1	1	P01120,P01123,P23292,P36015,P36149,P39968
Carbohydrate metabolism	0.5	0.6	0.86	6	1125	7	1125	1	1	P06738,P11412,P36136,P37012,P46969,Q06350
Potassium	0.5	0.6	0.86	6	1125	7	1125	1	1	P00549,P10659,P19358,P41338,P50094,P50095
Glutamine amidotransferase	0.5	0.6	0.86	6	1125	7	1125	1	1	P00937,P14742,P28274,P38625,P38972,P49089
ATP synthesis	0.5	0.6	0.86	6	1125	7	1125	1	1	P00830,P07251,P09457,P30902,P38077,Q06405
Cytoskeleton	2.3	2.8	0.84	26	1125	31	1125	0.592	1	P02994,P06787,P15891,P17536,P21576,P25343,P25369,P32380,P32504,P32521,P33322,P35691,P38198,P40457,P47117,P48606,P53148,P53168,P53267,P53865,P60010,Q02647,Q03048,Q05933,Q06449,Q06685
Lipid biosynthesis	1.7	2.0	0.83	19	1125	23	1125	0.641	1	P05374,P07149,P08524,P12684,P17898,P19097,P21147,P21957,P25087,P29704,P32353,P32377,P32462,P32463,P33333,P38071,P53199,P54839,Q00955
Mitosis	0.9	1.1	0.83	10	1125	12	1125	0.831	1	P09798,P33309,P33322,P36047,P38198,P47037,P53168,P53267,Q03790,Q05166
Copper	0.4	0.5	0.83	5	1125	6	1125	1	1	P00445,P38636,P40202,P49573,Q12287
Glycosidase	0.4	0.5	0.83	5	1125	6	1125	1	1	P12887,P31378,P32356,P38158,Q06350
GTP-binding	2.2	2.8	0.81	25	1125	31	1125	0.499	1	P01120,P01123,P02994,P05453,P07560,P11076,P18562,P20424,P21576,P25039,P32324,P32457,P32468,P32939,P36018,P38116,P38431,P39730,P40010,P41940,P53598,P53742,P80210,Q02892,Q99287
Lipid droplet	0.4	0.4	0.80	4	1125	5	1125	1	1	P38139,P53252,P53860,Q06508
Aminopeptidase	0.4	0.4	0.80	4	1125	5	1125	1	1	P32454,P37302,P37898,Q01662
Respiratory chain	0.4	0.4	0.80	4	1125	5	1125	1	1	P00044,P07256,P07257,P32463
Translocation	1.2	1.6	0.78	14	1125	18	1125	0.594	1	P14907,P20449,P20676,P32499,P36147,P39705,P40069,P42949,P49687,Q01852,Q02776,Q03790,Q05166,Q07914
Prenylation	0.6	0.8	0.78	7	1125	9	1125	0.803	1	P01120,P01123,P07560,P25491,P32939,P36015,P36018
Transport	11.2	14.5	0.77	126	1125	163	1125	0.0232	0.328	P00044,P00830,P01123,P04147,P04710,P04840,P05030,P05626,P07251,P07256,P07257,P07560,P09457,P11076,P13587,P14832,P14906,P14907,P16140,P17255,P17695,P18239,P20449,P20676,P21147,P22203,P22217,P24280,P25297,P25365,P25371,P25372,P25491,P25694,P30822,P30902,P31412,P31787,P32074,P32463,P32499,P32563,P32602,P32901,P32939,P33302,P33331,P33891,P34237,P35723,P36018,P36036,P36147,P36149,P38077,P38087,P38116,P38153,P38199,P38264,P38636,P38695,P38879,P38988,P39004,P39109,P39111,P39517,P39705,P39715,P39986,P40010,P40069,P40312,P40517,P41807,P41810,P41811,P41920,P42940,P42949,P43586,P43621,P46956,P47008,P47019,P48360,P48836,P49573,P49687,P53079,P53192,P53313,P53622,P53860,P69771,Q00711,Q01852,Q01926,Q02201,Q02455,Q02642,Q02647,Q02776,Q02821,Q02908,Q03195,Q03280,Q03790,Q04013,Q05166,Q06338,Q06405,Q06631,Q06671,Q06704,Q07478,Q07540,Q07878,Q07914,Q08822,Q08972,Q12114,Q12154,Q12408,Q12480
Protease	2.1	2.8	0.77	24	1125	31	1125	0.413	1	P0C2I9,P10507,P11914,P21243,P22141,P25037,P25375,P25451,P32379,P32454,P32571,P32898,P36775,P37302,P37898,P38624,P39925,P43588,P43616,Q01476,Q01662,Q02724,Q03434,Q03792
Ion transport	2.0	2.6	0.76	22	1125	29	1125	0.396	1	P00830,P04840,P05030,P05626,P07251,P09457,P13587,P16140,P17255,P22203,P30902,P31412,P32563,P38077,P38636,P39111,P41807,P48836,P49573,Q01926,Q06405,Q07540
ER-Golgi transport	1.4	1.9	0.76	16	1125	21	1125	0.508	1	P01123,P11076,P25365,P32074,P32602,P33891,P35723,P36149,P38116,P41810,P41811,P43621,P53192,P53622,Q06631,Q12154
Lipid metabolism	2.1	2.8	0.75	24	1125	32	1125	0.344	1	P05374,P07149,P08524,P12684,P17898,P19097,P21147,P21957,P25087,P29704,P30624,P32353,P32377,P32462,P32463,P33333,P38071,P38139,P39002,P40970,P53199,P54839,Q00955,Q06508
GTPase activation	0.5	0.7	0.75	6	1125	8	1125	0.79	1	P20424,P25365,P39960,P40517,P41920,Q12434
Pyruvate	0.3	0.4	0.75	3	1125	4	1125	1	1	P00549,P16387,P32473
Nonsense-mediated mRNA decay	0.3	0.4	0.75	3	1125	4	1125	1	1	P22147,P24783,Q99383
Calmodulin-binding	0.3	0.4	0.75	3	1125	4	1125	1	1	P17891,P32589,P32590
Motor protein	0.3	0.4	0.75	3	1125	4	1125	1	1	P21576,P53141,Q02647
CF(0)	0.3	0.4	0.75	3	1125	4	1125	1	1	P05626,P30902,Q06405
Phospholipid metabolism	0.4	0.6	0.71	5	1125	7	1125	0.774	1	P05374,P17898,P21957,P33333,Q06508
Rotamase	0.4	0.6	0.71	5	1125	7	1125	0.774	1	P14832,P25719,P38911,P53691,Q06205
Serine/threonine-protein kinase	1.0	1.4	0.69	11	1125	16	1125	0.439	1	P15790,P17157,P19454,P21965,P23292,P23293,P29295,P35169,P39073,P40160,Q01389
Cytoplasmic vesicle	0.8	1.2	0.69	9	1125	13	1125	0.521	1	P07560,P17891,P22137,P32074,P38153,P41810,P41811,P43621,P53622
Peroxisome	0.5	0.8	0.67	6	1125	9	1125	0.606	1	P23542,P32419,P38137,P40581,P53184,Q00055
Phospholipid biosynthesis	0.4	0.5	0.67	4	1125	6	1125	0.753	1	P05374,P17898,P21957,P33333
Purine salvage	0.2	0.3	0.67	2	1125	3	1125	1	1	P47143,Q04178
Antibiotic resistance	0.2	0.3	0.67	2	1125	3	1125	1	1	P02406,P33302
Virion maturation	0.2	0.3	0.67	2	1125	3	1125	1	1	P0C2I9,Q03434
RNA-directed DNA polymerase	0.2	0.3	0.67	2	1125	3	1125	1	1	P0C2I9,Q03434
Virus exit from host cell	0.2	0.3	0.67	2	1125	3	1125	1	1	P0C2I9,Q03434
Sugar transport	0.2	0.3	0.67	2	1125	3	1125	1	1	P38695,P39004
DNA integration	0.2	0.3	0.67	2	1125	3	1125	1	1	P0C2I9,Q03434
Cyclosporin	0.2	0.3	0.67	2	1125	3	1125	1	1	P14832,P25719
Pyridine nucleotide biosynthesis	0.2	0.3	0.67	2	1125	3	1125	1	1	P53184,Q06178
Protein transport	4.9	7.6	0.64	55	1125	86	1125	0.00886	0.169	P01123,P07560,P11076,P14832,P14906,P14907,P20449,P20676,P22217,P24280,P25365,P25491,P25694,P30822,P32074,P32499,P32602,P32901,P32939,P33331,P33891,P35723,P36018,P36147,P38116,P38153,P38879,P39705,P40010,P40069,P40517,P41810,P41811,P41920,P42949,P43621,P49687,P53079,P53313,P53622,P69771,Q01852,Q02642,Q02776,Q02821,Q02908,Q03790,Q05166,Q06338,Q06631,Q06671,Q06704,Q07878,Q07914,Q12114
Disulfide bond	1.4	2.2	0.64	16	1125	25	1125	0.207	1	P00445,P09624,P17695,P17967,P22217,P25372,P29509,P34760,P38013,P39077,P40202,P40553,P40581,P41921,P43555,Q12287
Actin-binding	0.8	1.2	0.64	9	1125	14	1125	0.402	1	P02994,P15891,P28495,P32521,P32599,P47117,Q03048,Q05933,Q06440
DNA-directed RNA polymerase	0.6	1.0	0.64	7	1125	11	1125	0.479	1	P10964,P17890,P22138,P25441,P46669,P47006,Q01080
Threonine protease	0.4	0.7	0.63	5	1125	8	1125	0.58	1	P21243,P22141,P25451,P32379,P38624
Lipoprotein	1.2	1.9	0.62	13	1125	21	1125	0.226	1	P01120,P01123,P07560,P11076,P23292,P25491,P32939,P36015,P36018,P36149,P38116,P39968,P40327
Endocytosis	0.3	0.4	0.60	3	1125	5	1125	0.726	1	P25369,P32521,P34216
FMN	0.3	0.4	0.60	3	1125	5	1125	0.726	1	P28272,P38075,Q03558
Lipid-binding	0.3	0.4	0.60	3	1125	5	1125	0.726	1	P31787,Q02201,Q05779
Membrane	13.4	22.8	0.59	151	1125	256	1125	1.06e-08	8.06e-07	P00427,P00830,P01120,P01123,P04037,P04710,P04840,P05030,P05374,P05626,P06105,P07213,P07251,P07256,P07257,P07275,P07560,P09457,P12684,P13587,P14906,P14907,P15565,P16547,P16622,P16861,P16862,P17255,P17891,P17898,P18239,P20449,P20676,P21147,P21560,P22137,P22203,P22217,P23292,P24280,P25297,P25365,P25371,P29704,P30902,P31412,P32074,P32340,P32353,P32457,P32462,P32468,P32499,P32521,P32563,P32571,P32602,P32901,P33302,P33333,P33891,P34237,P35169,P35723,P36015,P36018,P36112,P36147,P38077,P38087,P38137,P38153,P38264,P38266,P38300,P38626,P38695,P38988,P39004,P39010,P39109,P39705,P39925,P39952,P39968,P39986,P40012,P40043,P40046,P40075,P40312,P40531,P40961,P40970,P41807,P41810,P41811,P42949,P43555,P43585,P43594,P43621,P46956,P46964,P47008,P47075,P47124,P49017,P49573,P49687,P53079,P53148,P53192,P53199,P53318,P53622,P53723,P53860,P69771,Q00711,Q00955,Q01852,Q01926,Q02159,Q02725,Q02776,Q03102,Q03281,Q03707,Q03790,Q03880,Q04013,Q04697,Q04947,Q05050,Q05166,Q05779,Q05812,Q06089,Q06405,Q06493,Q06508,Q06671,Q06704,Q07914,Q08179,Q08245,Q08822,Q12114,Q12402,Q99287
Golgi apparatus	2.2	4.0	0.56	25	1125	45	1125	0.0204	0.328	P01123,P11076,P22217,P24280,P25365,P32074,P34237,P36149,P38116,P38153,P39010,P40531,P41810,P41811,P43555,P43621,P47124,P53079,P53192,P53622,Q06704,Q07878,Q12114,Q12154,Q12402
Calcium	0.4	0.8	0.56	5	1125	9	1125	0.422	1	P06787,P17891,P23254,P32599,P53141
Endoplasmic reticulum	3.8	6.9	0.55	43	1125	78	1125	0.00139	0.0354	P01123,P06105,P12684,P14906,P16474,P17898,P17967,P21147,P21957,P25365,P25371,P25694,P29704,P32353,P33891,P35723,P36018,P36149,P38626,P39986,P40075,P40312,P40970,P43555,P46964,P47008,P47133,P53192,P53199,P53723,P53860,Q00955,Q01574,Q02159,Q03362,Q03880,Q04697,Q04947,Q05040,Q06508,Q12154,Q12402,Q99287
Vacuole	1.3	2.7	0.50	15	1125	30	1125	0.0339	0.449	P17255,P22203,P31412,P32563,P32939,P35169,P37302,P39109,P39968,P40046,P41807,P43585,P47075,Q02725,Q12408
Mitochondrion outer membrane	0.7	1.4	0.50	8	1125	16	1125	0.149	1	P04840,P07213,P16547,P16861,P16862,P17898,P38626,Q06089
SH3 domain	0.3	0.5	0.50	3	1125	6	1125	0.507	1	P15891,P43603,Q06449
Transposable element	0.2	0.4	0.50	2	1125	4	1125	0.687	1	P0C2I9,Q03434
Decarboxylase	0.2	0.4	0.50	2	1125	4	1125	0.687	1	P06169,Q04792
Aspartyl protease	0.2	0.4	0.50	2	1125	4	1125	0.687	1	P0C2I9,Q03434
Exocytosis	0.1	0.2	0.50	1	1125	2	1125	1	1	P07560
Schiff base	0.1	0.2	0.50	1	1125	2	1125	1	1	P15019
Leucine-rich repeat	0.1	0.2	0.50	1	1125	2	1125	1	1	P36047
Serine protease	0.1	0.2	0.50	1	1125	2	1125	1	1	P36775
Porin	0.1	0.2	0.50	1	1125	2	1125	1	1	P04840
Transmembrane beta strand	0.1	0.2	0.50	1	1125	2	1125	1	1	P04840
Asparagine biosynthesis	0.1	0.2	0.50	1	1125	2	1125	1	1	P49089
Glycogen metabolism	0.1	0.2	0.50	1	1125	2	1125	1	1	P06738
Serine esterase	0.1	0.2	0.50	1	1125	2	1125	1	1	P38777
Glutathionylation	0.1	0.2	0.50	1	1125	2	1125	1	1	P17695
Riboflavin biosynthesis	0.1	0.2	0.50	1	1125	2	1125	1	1	P50861
Tryptophan catabolism	0.1	0.2	0.50	1	1125	2	1125	1	1	P06169
Deoxyribonucleotide synthesis	0.1	0.2	0.50	1	1125	2	1125	1	1	P22217
Myosin	0.1	0.2	0.50	1	1125	2	1125	1	1	P53141
Dioxygenase	0.1	0.2	0.50	1	1125	2	1125	1	1	P23180
Cell membrane	1.2	2.7	0.47	14	1125	30	1125	0.0213	0.328	P01120,P05030,P07560,P13587,P23292,P32521,P33302,P35169,P36015,P36018,P40043,Q05050,Q05812,Q08245
Transmembrane	6.0	13.7	0.44	68	1125	154	1125	1.22e-09	1.87e-07	P04710,P04840,P05030,P05374,P07213,P12684,P13587,P14906,P16547,P17898,P18239,P21147,P21560,P25297,P25365,P25371,P29704,P32353,P32462,P32563,P32901,P33302,P33333,P34237,P35723,P36112,P36147,P38087,P38264,P38626,P38695,P38988,P39004,P39010,P39109,P39925,P39952,P39986,P40046,P40075,P40312,P40970,P43555,P43585,P46956,P46964,P47075,P47124,P49573,P53192,P53723,Q01926,Q02725,Q02776,Q03102,Q03281,Q03707,Q03880,Q04013,Q04697,Q04947,Q06089,Q06493,Q06508,Q07914,Q08179,Q12402,Q99287
Transmembrane helix	6.0	13.5	0.44	67	1125	152	1125	1.52e-09	1.87e-07	P04710,P05030,P05374,P07213,P12684,P13587,P14906,P16547,P17898,P18239,P21147,P21560,P25297,P25365,P25371,P29704,P32353,P32462,P32563,P32901,P33302,P33333,P34237,P35723,P36112,P36147,P38087,P38264,P38626,P38695,P38988,P39004,P39010,P39109,P39925,P39952,P39986,P40046,P40075,P40312,P40970,P43555,P43585,P46956,P46964,P47075,P47124,P49573,P53192,P53723,Q01926,Q02725,Q02776,Q03102,Q03281,Q03707,Q03880,Q04013,Q04697,Q04947,Q06089,Q06493,Q06508,Q07914,Q08179,Q12402,Q99287
Autophagy	0.3	0.6	0.43	3	1125	7	1125	0.343	1	P01123,P36149,Q06671
Glycosyltransferase	0.7	1.8	0.40	8	1125	20	1125	0.0346	0.449	P00498,P06738,P13298,P18562,P46964,P47124,Q00764,Q04178
Secreted	0.4	0.9	0.40	4	1125	10	1125	0.178	1	P10591,P10592,Q06350,Q12335
Ribosomal frameshifting	0.2	0.4	0.40	2	1125	5	1125	0.452	1	P0C2I9,Q03434
Endosome	0.4	1.2	0.38	5	1125	13	1125	0.0949	0.877	P32074,P32521,P32571,P39010,P69771
Glycoprotein	2.0	5.3	0.37	22	1125	60	1125	2.32e-05	0.00101	P12684,P15705,P17967,P25365,P25371,P32454,P32563,P33302,P37012,P37302,P38695,P39004,P42846,P47124,P49573,P53163,P53723,Q02775,Q03362,Q04697,Q06350,Q12230
Zymogen	0.2	0.5	0.33	2	1125	6	1125	0.288	1	P37302,P38624
Lipid degradation	0.1	0.3	0.33	1	1125	3	1125	0.625	1	P38139
Sphingolipid metabolism	0.1	0.3	0.33	1	1125	3	1125	0.625	1	P40970
Cell wall	0.2	0.6	0.29	2	1125	7	1125	0.179	1	P10591,P10592
Signal	0.8	3.2	0.25	9	1125	36	1125	5.59e-05	0.00213	P16474,P17967,P25371,P37302,P43555,P53075,Q06350,Q12335,Q12408
Iron transport	0.1	0.4	0.25	1	1125	4	1125	0.374	1	Q07540
Pheromone response	0.1	0.4	0.25	1	1125	4	1125	0.374	1	P13574
Signal-anchor	0.3	1.2	0.23	3	1125	13	1125	0.0208	0.328	P25365,P47124,Q04697
Protein phosphatase	0.1	0.6	0.14	1	1125	7	1125	0.0698	0.71	P40081
Cell wall biogenesis/degradation	0.1	0.9	0.10	1	1125	10	1125	0.0115	0.204	Q06673
Transcription termination	0.2	0.0	-1.00	2	1125	0	1125	0.5	1	P53063,Q02792
Topoisomerase	0.2	0.0	-1.00	2	1125	0	1125	0.5	1	P06786,P38086
Homeobox	0.2	0.0	-1.00	2	1125	0	1125	0.5	1	P34161,Q04116
Proline metabolism	0.2	0.0	-1.00	2	1125	0	1125	0.5	1	P07275,P25502
Iron storage	0.1	0.0	-1.00	1	1125	0	1125	1	1	Q07540
SH2 domain	0.1	0.0	-1.00	1	1125	0	1125	1	1	P23615
Maltose metabolism	0.1	0.0	-1.00	1	1125	0	1125	1	1	P38158
Peptide transport	0.1	0.0	-1.00	1	1125	0	1125	1	1	P32901
Chitin degradation	0.1	0.0	-1.00	1	1125	0	1125	1	1	Q06350
Pyridoxine biosynthesis	0.1	0.0	-1.00	1	1125	0	1125	1	1	P38075
Polysaccharide degradation	0.1	0.0	-1.00	1	1125	0	1125	1	1	Q06350
Thioester bond	0.1	0.0	-1.00	1	1125	0	1125	1	1	Q02159
